datetime,do.sampling.days,co2.sampling.days,ch4.sampling.days,do.flux.cole.obs,do.flux.vachon.obs,do.flux.read.obs,do.flux.cole.mod,do.flux.vachon.mod,do.flux.read.mod,co2.flux.cole.obs,co2.flux.vachon.obs,co2.flux.read.obs,co2.flux.cole.mod,co2.flux.vachon.mod,co2.flux.read.mod,co2.flux.cole.obs.do,co2.flux.vachon.obs.do,co2.flux.read.obs.do,ch4.flux.cole.obs,ch4.flux.vachon.obs,ch4.flux.read.obs,ch4.flux.cole.mod,ch4.flux.vachon.mod,ch4.flux.read.mod
2016-04-16 11:30:00,NA,NA,NA,-9.960708241,-25.05433961,NA,15.46822528,38.90749132,NA,-2.026828846,-5.098117223,NA,-21.26880977,-53.49780057,NA,13.69597383,34.44971697,NA,0.172171027,0.433064724,NA,0.059809761,0.150440514,NA
2016-04-17 11:30:00,NA,NA,NA,-10.19736879,-25.98896473,NA,14.59987735,37.20917672,NA,-2.590504522,-6.602147284,NA,-20.07483135,-51.16261799,NA,14.02138209,35.73482651,NA,0.142183285,0.362367633,NA,0.056449506,0.143866939,NA
2016-04-18 11:30:00,NA,NA,NA,-11.9701561,-30.45801959,-13.1151895,20.4731758,52.09392294,22.43158551,-3.421685576,-8.706466767,-3.748994946,-28.15061673,-71.62914404,-30.84343008,16.45896464,41.87977694,18.03338556,0.161279494,0.410375099,0.176707063,0.04906355,0.124842029,0.05375684
2016-04-19 11:30:00,NA,NA,NA,-19.93205405,-46.67390385,-25.16826317,30.32646814,71.01398856,38.29332036,-6.154918536,-14.41266792,-7.771833708,-41.69889369,-97.64423427,-52.6533155,27.40657432,64.1766178,34.60636186,0.296880952,0.695191423,0.37487245,0.075621725,0.177079649,0.095487775
2016-04-20 11:30:00,NA,NA,NA,-23.12335952,-51.99750818,NA,23.24534317,52.27181286,NA,-7.562962489,-17.0068369,NA,-31.96234686,-71.87374268,NA,31.79461934,71.49657374,NA,0.413876947,0.930685264,NA,0.113757638,0.255806848,NA
2016-04-21 11:30:00,NA,NA,NA,-12.50788076,-31.84727884,-14.71959068,12.37423128,31.50698361,14.5623086,-4.285383354,-10.91134472,-5.043147606,-17.01456801,-43.32210246,-20.02317432,17.19833604,43.79000841,20.23943719,0.281691108,0.717235432,0.331501226,0.058146922,0.148052358,0.06842877
2016-04-22 11:30:00,NA,NA,NA,-16.28228058,-39.85577696,-22.35065075,26.65742166,65.25205403,36.59258409,-5.816332755,-14.23722309,-7.984067184,-36.65395478,-89.7215743,-50.31480313,22.38813579,54.80169333,30.73214478,0.473823314,1.159825015,0.650416221,0.046880827,0.114754919,0.064353208
2016-04-23 11:30:00,NA,NA,NA,-12.61293682,-31.76317497,-19.09471695,15.61442915,39.32183696,23.63867426,-4.714456166,-11.87242101,-7.13721216,-21.46984008,-54.06752581,-32.50317711,17.34278813,43.67436558,26.25523581,0.484553256,1.220251085,0.733564862,0.052136562,0.131295571,0.078929508
2016-04-24 11:30:00,NA,NA,NA,-16.59740646,-38.46487112,-23.09190853,23.70165379,54.92912766,32.97602084,-6.534667883,-15.14424308,-9.09165859,-32.58977396,-75.52755053,-45.34202865,22.82143389,52.88919779,31.75137423,0.860430559,1.994067605,1.197113766,0.064876225,0.150352144,0.090262046
2016-04-25 11:30:00,NA,NA,NA,-18.65531034,-39.61055865,-20.12164696,26.1569377,55.53865876,28.21291398,-7.872680993,-16.71595307,-8.49148605,-35.96578934,-76.36565579,-38.79275672,25.65105172,54.46451815,27.66726456,1.346634822,2.859290819,1.452482428,0.121266327,0.25748309,0.13079805
2016-04-26 11:30:00,NA,NA,NA,-11.20942301,-25.87318784,-13.53120148,16.39212672,37.83571851,19.78738505,-5.252643426,-12.12396302,-6.34060972,-22.53917424,-52.02411295,-27.20765445,15.41295664,35.57563328,18.60540203,1.18960901,2.745812816,1.436009612,0.133620533,0.308418118,0.161297004
2016-04-27 11:30:00,NA,NA,NA,-13.07540261,-25.4342585,-17.7309992,26.49309791,51.53434434,35.92616699,-7.38243174,-14.36029794,-10.01100273,-36.42800962,-70.85972346,-49.39847962,17.97867859,34.97210543,24.3801239,2.280787916,4.436586097,3.092879807,0.184888433,0.359644772,0.250719366
2016-04-28 11:30:00,NA,NA,NA,-5.746159482,-11.65088467,NA,10.9658063,22.23421485,NA,-5.032397299,-10.20366399,NA,-15.07798366,-30.57204542,NA,7.900969288,16.01996642,NA,2.23274745,4.527107736,NA,0.24466456,0.496080658,NA
2016-04-29 11:30:00,NA,NA,NA,0.247260622,0.61845898,NA,1.207826594,3.021068209,NA,-1.596104485,-3.992245692,NA,-1.660761567,-4.153968788,NA,-0.339983355,-0.850381098,NA,1.123916144,2.811187755,NA,0.099669545,0.249297784,NA
2016-04-30 11:30:00,NA,NA,NA,5.431273222,12.06872564,NA,2.704319629,6.009215575,NA,-1.36257518,-3.027751567,NA,-3.71843949,-8.262671416,NA,-7.46800068,-16.59449775,NA,1.94842099,4.329548044,NA,0.110085886,0.244619686,NA
2016-05-01 11:30:00,NA,NA,NA,12.33636384,26.10014815,NA,-7.113337136,-15.04974687,NA,-0.147684235,-0.312456772,NA,9.780838562,20.69340195,NA,-16.96250028,-35.88770371,NA,2.348115018,4.967926581,NA,0.186058557,0.393645646,NA
2016-05-02 11:30:00,NA,NA,NA,11.80950245,28.463656,NA,-6.715882171,-16.18684281,NA,0.784437213,1.890676689,NA,9.234337985,22.25690887,NA,-16.23806587,-39.137527,NA,1.523982344,3.673152987,NA,0.109907729,0.264903269,NA
2016-05-03 11:30:00,NA,NA,NA,16.68043739,39.75675359,NA,-5.070738044,-12.08577918,NA,1.691503642,4.031590533,NA,6.972264811,16.61794637,NA,-22.93560142,-54.66553619,NA,1.599666141,3.812701736,NA,0.07952095,0.189533088,NA
2016-05-04 11:30:00,NA,NA,NA,37.40146451,74.43223526,NA,-14.43299524,-28.72294204,NA,4.434685659,8.825418219,NA,19.84536846,39.4940453,NA,-51.4270137,-102.3443235,NA,2.782321422,5.537066672,NA,0.203691198,0.40536357,NA
2016-05-05 11:30:00,NA,NA,NA,23.79932229,57.47332361,NA,-8.924382881,-21.55161979,NA,3.020445253,7.294116418,NA,12.27102646,29.63347721,NA,-32.72406816,-79.02581996,NA,1.403802165,3.390061914,NA,0.132849338,0.320819766,NA
2016-05-06 11:30:00,NA,NA,NA,-13.57228747,-33.09812361,NA,-5.46997896,-13.33939029,NA,0.549886488,1.340983307,NA,7.52122107,18.34166165,NA,18.66189528,45.50991996,NA,1.263464607,3.081153993,NA,0.078715649,0.191960292,NA
2016-05-07 11:30:00,NA,NA,NA,45.0555931,98.82930278,NA,-8.987826348,-19.71476903,NA,5.887148881,12.91344269,NA,12.35826123,27.10780742,NA,-61.95144051,-135.8902913,NA,1.713173725,3.757841217,NA,0.119834255,0.262856063,NA
2016-05-08 11:30:00,NA,NA,NA,26.74306964,67.80324426,40.57931985,-6.180690003,-15.67025923,-9.3784371,3.451203884,8.750035917,5.236777533,8.498448754,21.54660644,12.89535101,-36.77172076,-93.22946085,-55.79656479,0.816991003,2.071364331,1.23968339,0.087753726,0.222487075,0.133155489
2016-05-09 11:30:00,NA,NA,NA,54.28094121,120.293036,85.17591804,-2.405773581,-5.331481022,-3.77506301,6.834443008,15.14594037,10.72438953,3.307938673,7.330786405,5.190711639,-74.63629416,-165.4029245,-117.1168873,1.325357068,2.937149244,2.07970795,0.086777653,0.192309622,0.136168719
2016-05-10 11:30:00,NA,NA,NA,70.6617417,146.5333396,101.2336702,-22.42110494,-46.49530717,-32.12163594,8.613815772,17.86272404,12.34059852,30.82901929,63.93104736,44.16724942,-97.15989483,-201.483342,-139.1962965,1.369940697,2.840886463,1.96264798,0.262712724,0.54479513,0.376375852
2016-05-11 11:30:00,NA,NA,NA,38.79099653,96.49080246,NA,-12.65585051,-31.48084042,NA,4.532511405,11.27441163,NA,17.40179445,43.28615557,NA,-53.33762023,-132.6748534,NA,0.591976904,1.472515059,NA,0.124486763,0.309655041,NA
2016-05-12 11:30:00,NA,NA,NA,-18.11060999,-43.43257647,NA,-12.81727608,-30.73818739,NA,1.406963825,3.37415824,NA,17.62375461,42.26500766,NA,24.90208873,59.71979265,NA,0.586504429,1.406545583,NA,0.115879521,0.277900422,NA
2016-05-13 11:30:00,NA,NA,NA,60.63805502,139.4564406,94.24783736,-12.57483255,-28.9198159,-19.54466996,6.308789635,14.50906278,9.805554932,17.29039475,39.76474686,26.8739212,-83.37732565,-191.7526058,-129.5907764,0.56760139,1.305379428,0.882205135,0.114714735,0.263822917,0.178297534
2016-05-14 11:30:00,NA,NA,NA,107.1327103,206.266272,141.4756541,-29.76495439,-57.30748492,-39.30654215,10.32998394,19.88867145,13.64141008,40.92681229,78.79779177,54.04649545,-147.3074767,-283.6161241,-194.5290244,0.803558971,1.547119576,1.061151452,0.248446365,0.478342285,0.32808945
2016-05-15 11:30:00,NA,NA,NA,55.64572158,132.2746088,NA,-20.91110228,-49.70746709,NA,4.93780722,11.73758736,NA,28.75276564,68.34776724,NA,-76.51286717,-181.8775871,NA,0.348336278,0.828024934,NA,0.20603115,0.489753552,NA
2016-05-16 11:30:00,NA,NA,NA,65.72105252,149.6191582,NA,-24.65171957,-56.12158338,NA,5.391562696,12.2743176,NA,33.8961144,77.16717715,NA,-90.36644721,-205.7263425,NA,0.362596749,0.82548009,NA,0.185300362,0.421850884,NA
2016-05-17 11:30:00,NA,NA,NA,46.04529441,114.148734,NA,-18.86541736,-46.76837311,NA,3.569787625,8.849693403,NA,25.93994888,64.30651303,NA,-63.31227981,-156.9545093,NA,0.238945563,0.59235876,NA,0.12459818,0.308885516,NA
2016-05-18 11:30:00,NA,NA,NA,36.41449853,92.76290279,NA,-13.80681121,-35.17170188,NA,2.77675943,7.07356343,NA,18.98436541,48.36109008,NA,-50.06993547,-127.5489913,NA,0.189588532,0.482960997,NA,0.073067311,0.186132891,NA
2016-05-19 11:30:00,NA,NA,NA,28.36165972,70.70217661,41.26885008,-6.508073362,-16.22383728,-9.469851429,2.252418593,5.615006271,3.277478333,8.948600873,22.30777626,13.02104571,-38.99728212,-97.21549284,-56.74466885,0.156282778,0.389594005,0.227405963,0.027889763,0.069525796,0.040582197
2016-05-20 11:30:00,NA,NA,NA,40.94377744,102.9505078,64.07087156,-3.612720878,-9.083955422,-5.653366392,3.625880782,9.117045158,5.673959668,4.967491207,12.49043871,7.77337879,-56.29769398,-141.5569483,-88.0974484,0.247743426,0.622934989,0.38768131,0.035338267,0.088855812,0.055299089
2016-05-21 11:30:00,NA,NA,NA,34.74817743,88.46394014,51.14545484,-8.895606136,-22.6469538,-13.09334347,3.667241924,9.336278737,5.397772491,12.23145844,31.13956147,18.00334727,-47.77874396,-121.6379177,-70.3250004,0.235400731,0.599296935,0.346483711,0.054706315,0.139274532,0.080521614
2016-05-22 11:30:00,NA,NA,NA,32.2622783,82.2767636,43.22120611,-5.841952915,-14.89842021,-7.826361445,4.257061896,10.85655737,5.703110857,8.032685258,20.48532779,10.76124699,-44.36063266,-113.13055,-59.4291584,0.245339845,0.625677091,0.32867747,0.039975499,0.101947377,0.053554471
